name,city,state,country,latitude,longitude,tees,holes,par,rating,slope,access_type,website
 Belgrade Lakes Golf Club,Belgrade Lakes,Maine,USA,44.4754,-69.8398,"[{""name"":""Black"",""rating"":74.6,""par"":71,""slope"":147},{""name"":""Blue"",""rating"":72.4,""par"":71,""slope"":141},{""name"":""White"",""rating"":70.1,""par"":71,""slope"":134}]",18,71,73.5,142,Public,
 Colbert Hills Golf Course,Manhattan,Kansas,USA,39.1983,-96.6341,"[{""name"":""Black"",""rating"":76.2,""par"":72,""slope"":145},{""name"":""Gold"",""rating"":73.8,""par"":72,""slope"":139},{""name"":""Blue"",""rating"":71.5,""par"":72,""slope"":133}]",18,72,74.5,142,Public,
"""The Old Course"" at Sugar Loaf",Cedar,Michigan,USA,44.9133662,-85.8109573,"[{""name"":""Blue (M)"",""rating"":73.6,""par"":72,""slope"":130},{""name"":""middle (M)"",""rating"":70.3,""par"":72,""slope"":120},{""name"":""forward (M)"",""rating"":70.7,""par"":74,""slope"":129}]",18,72,,,Public,http://www.sugarloaftheoldcourse.com/
#8 White Tee,Bullhead City,Arizona,USA,35.138231,-114.5325511,"[{""name"":""Blue/Blue (M)"",""rating"":61.2,""par"":64,""slope"":101}]",18,64,,,Semi-Private,
1 10 At University Park Country Club,University Park,Florida,USA,27.4046791,-82.4740262,"[{""name"":""Diamond (M)"",""rating"":74.2,""par"":72,""slope"":134},{""name"":""Emerald (M)"",""rating"":71.9,""par"":72,""slope"":130},{""name"":""Platinum (M)"",""rating"":70,""par"":72,""slope"":128},{""name"":""Gold (M)"",""rating"":68,""par"":72,""slope"":120},{""name"":""Gold (F)"",""rating"":73.4,""par"":72,""slope"":133},{""name"":""Ruby (F)"",""rating"":71.9,""par"":72,""slope"":129},{""name"":""Bronze (F)"",""rating"":69.1,""par"":72,""slope"":125}]",18,72,,,Semi-Private,https://www.universitypark-fl.com/Country_Club
1 At Ponkapoag Golf Club,Canton,Massachusetts,USA,42.1921882,-71.1164245,"[{""name"":""Black (M)"",""rating"":73.2,""par"":72,""slope"":130},{""name"":""Blue (M)"",""rating"":72,""par"":72,""slope"":128},{""name"":""White (M)"",""rating"":69.9,""par"":72,""slope"":121},{""name"":""White (F)"",""rating"":75.3,""par"":73,""slope"":132},{""name"":""Red (M)"",""rating"":66.3,""par"":72,""slope"":112},{""name"":""Red (F)"",""rating"":68.3,""par"":72,""slope"":123}]",18,72,,,Public,https://www.mass.gov/locations/ponkapoag-golf-course
10 19 At University Park Country Club,University Park,Florida,USA,27.4046791,-82.4740262,"[{""name"":""Diamond (M)"",""rating"":74.7,""par"":72,""slope"":137},{""name"":""Emerald (M)"",""rating"":72.4,""par"":72,""slope"":132},{""name"":""Platinum (M)"",""rating"":70.5,""par"":72,""slope"":127},{""name"":""Gold (M)"",""rating"":68.3,""par"":72,""slope"":121},{""name"":""Gold (F)"",""rating"":73.4,""par"":72,""slope"":133},{""name"":""Ruby (F)"",""rating"":72.1,""par"":72,""slope"":129},{""name"":""Bronze (F)"",""rating"":68.9,""par"":72,""slope"":123}]",18,72,,,Semi-Private,https://www.universitypark-fl.com/Country_Club
12 Oaks,Holly Springs,North Carolina,USA,35.67133715,-78.87751406,"[{""name"":""Gold (M)"",""rating"":75.1,""par"":72,""slope"":148},{""name"":""Blue (F)"",""rating"":78.7,""par"":72,""slope"":151},{""name"":""Blue (M)"",""rating"":72,""par"":72,""slope"":138},{""name"":""White (M)"",""rating"":69.8,""par"":72,""slope"":127},{""name"":""White (F)"",""rating"":75.4,""par"":72,""slope"":144},{""name"":""Red (M)"",""rating"":65.2,""par"":72,""slope"":116},{""name"":""Red (F)"",""rating"":69.9,""par"":72,""slope"":125}]",18,72,,,Private,http://theclubat12oaks.com
16 holes,Four Corners,Florida,USA,28.283114,-81.6354874,[],18,,,,Public,
1757 Golf Club,Dulles,Virginia,USA,39.0186,-77.4539,"[{""name"":""Black"",""rating"":74,""par"":71,""slope"":136},{""name"":""Blue"",""rating"":71.9,""par"":71,""slope"":131},{""name"":""White"",""rating"":69.8,""par"":71,""slope"":126}]",18,70,72.1,135,Public,
