"par","country","tees_enriched_at","website","access_type","featured","city","latitude","architect","rating","yardage","description","tees","slope","year_opened","opengolf_id","name","is_public","state","holes","longitude","id","created_date","updated_date","created_by_id","is_sample"
"27","USA","","","Public","false","French Lick","38.553741","[]","","","","[]","","2025","","French Lick Resort - Sand Creek Course","true","Indiana","9","-86.630024","6a8f93ca6b21addd2e92397a","2026-08-27T01:32:58.362000","2026-08-27T01:32:58.362000","6a6fd7e57466ef063a30cf1f","false"
"72","USA","","","Public","false","Indianapolis","39.86","[""Pete Dye""]","","","","[]","","1975","","Eagle Creek Golf Club - Pines Course","true","Indiana","18","-86.32","6a8f929454d35ecb46a9b89b","2026-08-27T01:27:48.107000","2026-08-27T01:27:48.107000","6a6fd7e57466ef063a30cf1f","false"
"72","USA","","","Public","false","Plymouth","41.395946","[""Al Humphrey""]","","","","[]","","1969","","Swan Lake Resort - Silver Course","true","Indiana","18","-86.42713","6a8f91246f9dc70119f994f2","2026-08-27T01:21:40.984000","2026-08-27T01:21:40.984000","6a6fd7e57466ef063a30cf1f","false"
"60","USA","","","Public","false","Michigan City","41.69876","[]","","","","[]","","","","Michigan City Municipal Golf Course - North Course","true","Indiana","18","-86.83284","6a8f90d415077705588c30e4","2026-08-27T01:20:20.525000","2026-08-27T01:20:30.287000","6a6fd7e57466ef063a30cf1f","false"
"72","USA","","","Private","false","Granger","41.754439","[""Ernie Schrock""]","","","","[]","","","","Knollwood Country Club - Meadow Course","false","Indiana","18","-86.178523","6a8f907e944e59f7ea235ce5","2026-08-27T01:18:54.849000","2026-08-27T01:18:54.849000","6a6fd7e57466ef063a30cf1f","false"
"30","USA","","","Public","false","Schererville","41.496971","[]","","","","[]","","1985","","Scherwood Golf - Executive Course","false","Indiana","9","-87.442017","6a8f90188197ac93faecce4e","2026-08-27T01:17:12.391000","2026-08-27T01:17:12.391000","6a6fd7e57466ef063a30cf1f","false"
"27","USA","","","Private","false","Zionsville","39.989282","[""Pete Dye""]","","","","[]","","2021","","The Club at Holliday Farms - Executive Course","false","Indiana","9","-86.261968","6a8f8fe3b00c77bb48b823f9","2026-08-27T01:16:19.264000","2026-08-27T01:26:58.476000","6a6fd7e57466ef063a30cf1f","false"
"33","USA","","https://crosscreekdecatur.com/","Public","false","Decatur","40.848218","[""Mark Slater""]","","","","[]","","2019","","Cross Creek - Majorki Course","true","Indiana","9","-84.955951","6a8f3f5afc331ff0e42282a6","2026-08-26T19:32:42.888000","2026-08-26T19:32:42.888000","6a6fd7e57466ef063a30cf1f","false"
"","USA","","","Public","false","Whittington","38.069232","[]","","","","[]","","","","Rend Lake Golf Course","false","Illinois","27","-88.927743","6a8f2a2d006d38c74d5b8ac9","2026-08-26T18:02:21.312000","2026-08-26T18:02:21.312000","6a6fd7e57466ef063a30cf1f","false"
"72","USA","","","Public","false","Mahomet","40.2049","[""Robert B. Harris""]","71.8","6525","","[]","126","1951","","Lake of the Woods Golf Course","true","Illinois","18","-88.3759","6a8f155130043f09cc855dcb","2026-08-26T16:33:21.507000","2026-08-26T16:33:21.507000","6a6fd7e57466ef063a30cf1f","false"
"35","USA","","","Public","false","Waikoloa","19.921","[]","","","","[]","","","","Waikoloa Beach Resort - Lakes Course","true","Hawaii","9","-155.8742","6a8de25fd4edefd6d362d28e","2026-08-25T18:43:43.692000","2026-08-25T18:43:43.692000","6a6fd7e57466ef063a30cf1f","false"
"27","USA","","","Public","false","Ewa Beach","21.3367","[]","","","","[]","","","","Hawaii Prince Golf Club - Quick Shot Par 3 Course","false","Hawaii","9","-158.0168","6a8ddb769d9086e3b558d466","2026-08-25T18:14:14.012000","2026-08-25T18:14:14.012000","6a6fd7e57466ef063a30cf1f","false"
